"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18685,0.02171,0.02512,0.21497,0.01756,1.2407,0.12164,0.09223,1.40269,0.06682,1.166,0.11247,0.0507,1.15815,0.01706
"2",0.18881,0.02195,0.02556,0.21651,0.01796,1.25257,0.12292,0.09311,1.41333,0.06845,1.17918,0.1137,0.05128,1.17107,0.01757
"3",0.18635,0.02143,0.02522,0.21524,0.01835,1.24019,0.1223,0.09277,1.40969,0.07008,1.18198,0.11445,0.05181,1.17959,0.01808
"4",0.17675,0.01995,0.02374,0.20859,0.01873,1.19687,0.11882,0.09051,1.3835,0.07168,1.17062,0.11421,0.05222,1.18127,0.01859
"5",0.17033,0.01924,0.02262,0.20234,0.01909,1.15952,0.11509,0.08831,1.35568,0.07323,1.15947,0.1135,0.05258,1.18197,0.0191
"6",0.16654,0.0189,0.02194,0.1974,0.01944,1.13228,0.11218,0.08647,1.33073,0.07474,1.15096,0.11272,0.05289,1.18281,0.01961
"7",0.16546,0.01892,0.02175,0.19435,0.01979,1.11844,0.11049,0.0853,1.31273,0.07622,1.14769,0.11219,0.05318,1.18509,0.02011
"8",0.17127,0.01993,0.02266,0.19656,0.02014,1.134,0.11131,0.08585,1.3144,0.0777,1.15663,0.11242,0.05351,1.19241,0.02062
"9",0.1769,0.02062,0.02357,0.20018,0.02051,1.14855,0.11272,0.08667,1.31994,0.07919,1.16687,0.1131,0.05386,1.20061,0.02113
"10",0.17837,0.02066,0.0239,0.2021,0.02088,1.1516,0.11327,0.08693,1.32064,0.08069,1.17314,0.11376,0.05419,1.20718,0.02164
"11",0.17304,0.01977,0.02323,0.19958,0.02125,1.1341,0.11203,0.08588,1.30805,0.08219,1.17086,0.11393,0.05443,1.20968,0.02215
"12",0.17003,0.01946,0.02278,0.19724,0.02161,1.12008,0.11062,0.08497,1.29606,0.08367,1.16921,0.11391,0.05466,1.2121,0.02266
"13",0.17016,0.01959,0.02277,0.19654,0.02197,1.1164,0.11002,0.08463,1.28987,0.08513,1.1714,0.11402,0.0549,1.21594,0.02317
"14",0.1729,0.02006,0.02322,0.19806,0.02233,1.12701,0.1107,0.08506,1.29321,0.0866,1.17936,0.11447,0.05515,1.22219,0.02369
"15",0.17106,0.01962,0.02292,0.19707,0.02269,1.11348,0.10992,0.08438,1.28385,0.08806,1.17741,0.11462,0.05536,1.22435,0.02421
"16",0.17197,0.01985,0.02306,0.1976,0.02305,1.11472,0.10973,0.08436,1.28216,0.08952,1.18105,0.11485,0.05557,1.22858,0.02473
"17",0.17527,0.02035,0.02356,0.19989,0.02341,1.12537,0.11053,0.08493,1.28744,0.09098,1.18886,0.11537,0.05581,1.23469,0.02525
"18",0.17866,0.02078,0.02411,0.2027,0.02378,1.13913,0.11179,0.08576,1.29632,0.09245,1.19889,0.11614,0.05607,1.24193,0.02577
"19",0.18065,0.02094,0.02441,0.20494,0.02415,1.14482,0.11254,0.08629,1.30207,0.09394,1.21497,0.11733,0.05639,1.25212,0.0263
